12-Oct-16 8:02:27 AM	 Tag: Test	 Status: High_High	Value 98.7688340595138
12-Oct-16 8:02:27 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:02:27 AM	 Tag: Test	 Status: High_High	Value 98.7688340595138
12-Oct-16 8:02:28 AM	 Tag: Test	 Status: High_High	Value 99.4521895368273
12-Oct-16 8:02:28 AM	 Tag: Test	 Status: High_High	Value 99.4521895368273
12-Oct-16 8:02:29 AM	 Tag: Test	 Status: High_High	Value 99.8629534754574
12-Oct-16 8:02:29 AM	 Tag: Test	 Status: High_High	Value 99.8629534754574
12-Oct-16 8:02:30 AM	 Tag: Test	 Status: High_High	Value 100
12-Oct-16 8:02:30 AM	 Tag: Test	 Status: High_High	Value 100
12-Oct-16 8:02:31 AM	 Tag: Test	 Status: High_High	Value 99.8629534754574
12-Oct-16 8:02:31 AM	 Tag: Test	 Status: High_High	Value 99.8629534754574
12-Oct-16 8:02:32 AM	 Tag: Test	 Status: High_High	Value 99.4521895368273
12-Oct-16 8:02:32 AM	 Tag: Test	 Status: High_High	Value 99.4521895368273
12-Oct-16 8:02:33 AM	 Tag: Test	 Status: High_High	Value 98.7688340595138
12-Oct-16 8:02:33 AM	 Tag: Test	 Status: High_High	Value 98.7688340595138
12-Oct-16 8:02:34 AM	 Tag: Test	 Status: High_High	Value 97.8147600733806
12-Oct-16 8:02:34 AM	 Tag: Test	 Status: High_High	Value 97.8147600733806
12-Oct-16 8:02:35 AM	 Tag: Test	 Status: High_High	Value 96.5925826289068
12-Oct-16 8:02:35 AM	 Tag: Test	 Status: High_High	Value 96.5925826289068
12-Oct-16 8:02:36 AM	 Tag: Test	 Status: High_High	Value 95.1056516295154
12-Oct-16 8:02:36 AM	 Tag: Test	 Status: High_High	Value 95.1056516295154
12-Oct-16 8:02:37 AM	 Tag: Test	 Status: High_High	Value 93.3580426497202
12-Oct-16 8:02:37 AM	 Tag: Test	 Status: High_High	Value 93.3580426497202
12-Oct-16 8:02:38 AM	 Tag: Test	 Status: High_High	Value 91.3545457642601
12-Oct-16 8:02:38 AM	 Tag: Test	 Status: High_High	Value 91.3545457642601
12-Oct-16 8:02:39 AM	 Tag: Test	 Status: High_High	Value 89.1006524188368
12-Oct-16 8:03:44 AM	 Tag: Test	 Status: High_High	Value 74.3144825477394
12-Oct-16 8:03:44 AM	 Tag: Test	 Status: High_High	Value 74.3144825477394
12-Oct-16 8:03:45 AM	 Tag: Test	 Status: High_High	Value 70.7106781186548
12-Oct-16 8:03:45 AM	 Tag: Test	 Status: High_High	Value 70.7106781186548
12-Oct-16 8:03:46 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:03:46 AM	 Tag: Test	 Status: High_High	Value 66.9130606358858
12-Oct-16 8:03:48 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:05:23 AM	 Tag: Test	 Status: High_High	Value 93.3580426497202
12-Oct-16 8:05:23 AM	 Tag: Test	 Status: High_High	Value 93.3580426497202
12-Oct-16 8:05:24 AM	 Tag: Test	 Status: High_High	Value 95.1056516295154
12-Oct-16 8:05:24 AM	 Tag: Test	 Status: High_High	Value 95.1056516295154
12-Oct-16 8:06:34 AM	 Tag: Test	 Status: High_High	Value 97.8147600733806
12-Oct-16 8:06:34 AM	 Tag: Test	 Status: High_High	Value 97.8147600733806
12-Oct-16 8:06:35 AM	 Tag: Test	 Status: High_High	Value 96.5925826289068
12-Oct-16 8:06:35 AM	 Tag: Test	 Status: High_High	Value 96.5925826289068
